Review,Topic,Sentiment
The Ride Comfort was slow and really frustrating.,Ride Comfort,Negative
"Disappointed with the Miscellaneous, it was really frustrating.",Miscellaneous,Negative
A very App Experience bad ruined the experience.,App Experience,Negative
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Would not recommend due to the Customer Support being slow.,Customer Support,Negative
A very Ride Comfort bad ruined the experience.,Ride Comfort,Negative
"The Ride Comfort worked as expected, decent experience.",Ride Comfort,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
The Ride Comfort was normal but nothing special.,Ride Comfort,Neutral
Had a Payment Issues time using the smooth service!,Payment Issues,Positive
Had a Payment Issues time using the smooth service!,Payment Issues,Positive
"The Pricing worked as expected, okay experience.",Pricing,Neutral
Neither too good nor too bad - just Pricing.,Pricing,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Had a App Experience time using the amazing service!,App Experience,Positive
A very Driver Behavior terrible ruined the experience.,Driver Behavior,Negative
"Disappointed with the Customer Support, it was really frustrating.",Customer Support,Negative
The Miscellaneous was normal but nothing special.,Miscellaneous,Neutral
I had a Driver Behavior experience with the amazing.,Driver Behavior,Positive
"The Payment Issues worked as expected, average experience.",Payment Issues,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
"The Customer Support worked as expected, okay experience.",Customer Support,Neutral
Really impressed with the Ride Comfort - it was comfortable.,Ride Comfort,Positive
Had a Payment Issues experience with the poor.,Payment Issues,Negative
Had a Payment Issues time using the great service!,Payment Issues,Positive
It was an Customer Support experience overall.,Customer Support,Neutral
I had a Miscellaneous experience with the excellent.,Miscellaneous,Positive
I had a Ride Comfort experience with the comfortable.,Ride Comfort,Positive
I had a Ride Comfort experience with the amazing.,Ride Comfort,Positive
Would not recommend due to the Driver Behavior being frustrating.,Driver Behavior,Negative
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
Would not recommend due to the Ride Comfort being frustrating.,Ride Comfort,Negative
Would not recommend due to the Miscellaneous being frustrating.,Miscellaneous,Negative
Really impressed with the App Experience - it was smooth.,App Experience,Positive
The App Experience was fast and amazing.,App Experience,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
The Pricing was terrible and really frustrating.,Pricing,Negative
"Disappointed with the Miscellaneous, it was really uncomfortable.",Miscellaneous,Negative
Really impressed with the Customer Support - it was smooth.,Customer Support,Positive
Would not recommend due to the Payment Issues being poor.,Payment Issues,Negative
The App Experience was amazing and amazing.,App Experience,Positive
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Had a App Experience time using the fast service!,App Experience,Positive
The Ride Comfort was uncomfortable and really frustrating.,Ride Comfort,Negative
The Payment Issues was bad and really frustrating.,Payment Issues,Negative
Had a Customer Support experience with the terrible.,Customer Support,Negative
I had a Miscellaneous experience with the fast.,Miscellaneous,Positive
A very Miscellaneous slow ruined the experience.,Miscellaneous,Negative
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Had a Pricing experience with the bad.,Pricing,Negative
"The Customer Support worked as expected, standard experience.",Customer Support,Neutral
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
Had a Payment Issues time using the comfortable service!,Payment Issues,Positive
"The App Experience worked as expected, normal experience.",App Experience,Neutral
Had a Pricing experience with the poor.,Pricing,Negative
"Disappointed with the Customer Support, it was really terrible.",Customer Support,Negative
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
Really impressed with the Ride Comfort - it was excellent.,Ride Comfort,Positive
Really impressed with the App Experience - it was great.,App Experience,Positive
The Ride Comfort was great and excellent.,Ride Comfort,Positive
Would not recommend due to the App Experience being bad.,App Experience,Negative
"An App Experience ride, nothing to complain about.",App Experience,Neutral
"An Pricing ride, nothing to complain about.",Pricing,Neutral
A very Driver Behavior terrible ruined the experience.,Driver Behavior,Negative
The App Experience was excellent and fast.,App Experience,Positive
The Miscellaneous was standard but nothing special.,Miscellaneous,Neutral
A very App Experience poor ruined the experience.,App Experience,Negative
"Disappointed with the Customer Support, it was really bad.",Customer Support,Negative
The Pricing was bad and really frustrating.,Pricing,Negative
The App Experience was standard but nothing special.,App Experience,Neutral
The Ride Comfort was poor and really frustrating.,Ride Comfort,Negative
Really impressed with the Payment Issues - it was smooth.,Payment Issues,Positive
Had a Customer Support experience with the frustrating.,Customer Support,Negative
It was an Pricing experience overall.,Pricing,Neutral
"Disappointed with the Driver Behavior, it was really slow.",Driver Behavior,Negative
The Pricing was amazing and excellent.,Pricing,Positive
The Customer Support was excellent and amazing.,Customer Support,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
The Customer Support was okay but nothing special.,Customer Support,Neutral
Would not recommend due to the Ride Comfort being frustrating.,Ride Comfort,Negative
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
The Payment Issues was great and comfortable.,Payment Issues,Positive
Had a Ride Comfort time using the smooth service!,Ride Comfort,Positive
A very App Experience bad ruined the experience.,App Experience,Negative
The Customer Support was great and excellent.,Customer Support,Positive
"Disappointed with the App Experience, it was really frustrating.",App Experience,Negative
Had a Payment Issues time using the amazing service!,Payment Issues,Positive
Had a Driver Behavior experience with the frustrating.,Driver Behavior,Negative
The App Experience was terrible and really frustrating.,App Experience,Negative
Had a Driver Behavior experience with the frustrating.,Driver Behavior,Negative
"Disappointed with the Ride Comfort, it was really terrible.",Ride Comfort,Negative
Had a Pricing experience with the uncomfortable.,Pricing,Negative
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
The App Experience was smooth and fast.,App Experience,Positive
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
The Pricing was decent but nothing special.,Pricing,Neutral
Had a App Experience experience with the bad.,App Experience,Negative
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
It was an Driver Behavior experience overall.,Driver Behavior,Neutral
The Ride Comfort was poor and really frustrating.,Ride Comfort,Negative
Had a Driver Behavior time using the amazing service!,Driver Behavior,Positive
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
"An App Experience ride, nothing to complain about.",App Experience,Neutral
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
Had a App Experience experience with the frustrating.,App Experience,Negative
A very Miscellaneous poor ruined the experience.,Miscellaneous,Negative
Really impressed with the Driver Behavior - it was comfortable.,Driver Behavior,Positive
"The Pricing worked as expected, standard experience.",Pricing,Neutral
The App Experience was frustrating and really frustrating.,App Experience,Negative
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
I had a Pricing experience with the excellent.,Pricing,Positive
The Ride Comfort was amazing and comfortable.,Ride Comfort,Positive
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
The Payment Issues was average but nothing special.,Payment Issues,Neutral
"Disappointed with the App Experience, it was really bad.",App Experience,Negative
The App Experience was fair but nothing special.,App Experience,Neutral
Really impressed with the Payment Issues - it was excellent.,Payment Issues,Positive
Had a Miscellaneous time using the fast service!,Miscellaneous,Positive
"The Driver Behavior worked as expected, standard experience.",Driver Behavior,Neutral
The Miscellaneous was decent but nothing special.,Miscellaneous,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
Had a Miscellaneous experience with the slow.,Miscellaneous,Negative
Everything about the Ride Comfort was excellent.,Ride Comfort,Positive
Really impressed with the App Experience - it was comfortable.,App Experience,Positive
Everything about the Miscellaneous was amazing.,Miscellaneous,Positive
The Pricing was bad and really frustrating.,Pricing,Negative
The Driver Behavior was excellent and fast.,Driver Behavior,Positive
The Payment Issues was frustrating and really frustrating.,Payment Issues,Negative
"The Miscellaneous worked as expected, decent experience.",Miscellaneous,Neutral
Really impressed with the Miscellaneous - it was comfortable.,Miscellaneous,Positive
Everything about the Pricing was comfortable.,Pricing,Positive
The App Experience was excellent and fast.,App Experience,Positive
The App Experience was great and fast.,App Experience,Positive
The Pricing was comfortable and fast.,Pricing,Positive
Really impressed with the Ride Comfort - it was great.,Ride Comfort,Positive
The Payment Issues was frustrating and really frustrating.,Payment Issues,Negative
Everything about the Customer Support was excellent.,Customer Support,Positive
Would not recommend due to the Ride Comfort being slow.,Ride Comfort,Negative
Had a Customer Support time using the great service!,Customer Support,Positive
"The Payment Issues worked as expected, average experience.",Payment Issues,Neutral
A very Customer Support slow ruined the experience.,Customer Support,Negative
Had a Payment Issues experience with the bad.,Payment Issues,Negative
Had a Pricing experience with the slow.,Pricing,Negative
Would not recommend due to the App Experience being uncomfortable.,App Experience,Negative
Had a Miscellaneous time using the smooth service!,Miscellaneous,Positive
The Payment Issues was smooth and comfortable.,Payment Issues,Positive
Had a Payment Issues time using the amazing service!,Payment Issues,Positive
I had a Payment Issues experience with the great.,Payment Issues,Positive
A very Payment Issues poor ruined the experience.,Payment Issues,Negative
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
The Driver Behavior was bad and really frustrating.,Driver Behavior,Negative
A very Pricing uncomfortable ruined the experience.,Pricing,Negative
I had a Driver Behavior experience with the fast.,Driver Behavior,Positive
It was an Pricing experience overall.,Pricing,Neutral
Everything about the Ride Comfort was excellent.,Ride Comfort,Positive
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
The Pricing was comfortable and great.,Pricing,Positive
I had a App Experience experience with the excellent.,App Experience,Positive
"Disappointed with the Payment Issues, it was really bad.",Payment Issues,Negative
Had a Payment Issues experience with the slow.,Payment Issues,Negative
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
"Disappointed with the Pricing, it was really frustrating.",Pricing,Negative
"Disappointed with the App Experience, it was really bad.",App Experience,Negative
"An Payment Issues ride, nothing to complain about.",Payment Issues,Neutral
"Disappointed with the Customer Support, it was really uncomfortable.",Customer Support,Negative
I had a Pricing experience with the smooth.,Pricing,Positive
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
Had a Pricing time using the excellent service!,Pricing,Positive
"An App Experience ride, nothing to complain about.",App Experience,Neutral
Would not recommend due to the Payment Issues being slow.,Payment Issues,Negative
Would not recommend due to the Driver Behavior being poor.,Driver Behavior,Negative
It was an App Experience experience overall.,App Experience,Neutral
Really impressed with the Payment Issues - it was fast.,Payment Issues,Positive
Everything about the Miscellaneous was fast.,Miscellaneous,Positive
The Payment Issues was fast and fast.,Payment Issues,Positive
"An Pricing ride, nothing to complain about.",Pricing,Neutral
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
"The App Experience worked as expected, standard experience.",App Experience,Neutral
The Customer Support was average but nothing special.,Customer Support,Neutral
I had a Ride Comfort experience with the fast.,Ride Comfort,Positive
Really impressed with the Customer Support - it was amazing.,Customer Support,Positive
Had a Ride Comfort experience with the frustrating.,Ride Comfort,Negative
"An Pricing ride, nothing to complain about.",Pricing,Neutral
The Payment Issues was smooth and excellent.,Payment Issues,Positive
A very Ride Comfort poor ruined the experience.,Ride Comfort,Negative
I had a App Experience experience with the great.,App Experience,Positive
Had a Miscellaneous experience with the bad.,Miscellaneous,Negative
Would not recommend due to the Ride Comfort being frustrating.,Ride Comfort,Negative
The Miscellaneous was standard but nothing special.,Miscellaneous,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
"The Ride Comfort worked as expected, okay experience.",Ride Comfort,Neutral
The App Experience was fast and excellent.,App Experience,Positive
Had a App Experience experience with the frustrating.,App Experience,Negative
Everything about the Miscellaneous was fast.,Miscellaneous,Positive
"The Customer Support worked as expected, normal experience.",Customer Support,Neutral
I had a App Experience experience with the excellent.,App Experience,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
I had a Miscellaneous experience with the amazing.,Miscellaneous,Positive
The App Experience was comfortable and smooth.,App Experience,Positive
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
The Customer Support was fast and comfortable.,Customer Support,Positive
"The Ride Comfort worked as expected, average experience.",Ride Comfort,Neutral
I had a App Experience experience with the amazing.,App Experience,Positive
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
I had a Miscellaneous experience with the excellent.,Miscellaneous,Positive
Would not recommend due to the Driver Behavior being slow.,Driver Behavior,Negative
Had a Payment Issues time using the comfortable service!,Payment Issues,Positive
The Miscellaneous was fast and amazing.,Miscellaneous,Positive
Really impressed with the Ride Comfort - it was smooth.,Ride Comfort,Positive
The Payment Issues was comfortable and smooth.,Payment Issues,Positive
Would not recommend due to the Miscellaneous being slow.,Miscellaneous,Negative
Had a Customer Support time using the amazing service!,Customer Support,Positive
It was an App Experience experience overall.,App Experience,Neutral
A very Pricing poor ruined the experience.,Pricing,Negative
Would not recommend due to the Pricing being terrible.,Pricing,Negative
Would not recommend due to the Ride Comfort being bad.,Ride Comfort,Negative
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
The Ride Comfort was amazing and excellent.,Ride Comfort,Positive
"Disappointed with the App Experience, it was really frustrating.",App Experience,Negative
Everything about the Pricing was great.,Pricing,Positive
Everything about the Driver Behavior was amazing.,Driver Behavior,Positive
Had a Pricing experience with the terrible.,Pricing,Negative
The App Experience was fair but nothing special.,App Experience,Neutral
A very App Experience frustrating ruined the experience.,App Experience,Negative
The Pricing was frustrating and really frustrating.,Pricing,Negative
Everything about the Ride Comfort was fast.,Ride Comfort,Positive
A very Miscellaneous poor ruined the experience.,Miscellaneous,Negative
It was an App Experience experience overall.,App Experience,Neutral
Had a App Experience experience with the frustrating.,App Experience,Negative
"The Miscellaneous worked as expected, decent experience.",Miscellaneous,Neutral
"The Miscellaneous worked as expected, fair experience.",Miscellaneous,Neutral
The Pricing was poor and really frustrating.,Pricing,Negative
"Disappointed with the Customer Support, it was really frustrating.",Customer Support,Negative
"The Customer Support worked as expected, okay experience.",Customer Support,Neutral
Had a Payment Issues time using the excellent service!,Payment Issues,Positive
Really impressed with the Payment Issues - it was comfortable.,Payment Issues,Positive
It was an Pricing experience overall.,Pricing,Neutral
I had a Customer Support experience with the excellent.,Customer Support,Positive
Would not recommend due to the Ride Comfort being frustrating.,Ride Comfort,Negative
Had a Driver Behavior time using the smooth service!,Driver Behavior,Positive
"The Payment Issues worked as expected, decent experience.",Payment Issues,Neutral
It was an Driver Behavior experience overall.,Driver Behavior,Neutral
Had a Miscellaneous experience with the bad.,Miscellaneous,Negative
Had a Payment Issues experience with the slow.,Payment Issues,Negative
Would not recommend due to the Miscellaneous being bad.,Miscellaneous,Negative
Had a Customer Support experience with the uncomfortable.,Customer Support,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
"An App Experience ride, nothing to complain about.",App Experience,Neutral
The Payment Issues was amazing and comfortable.,Payment Issues,Positive
I had a App Experience experience with the comfortable.,App Experience,Positive
I had a Pricing experience with the comfortable.,Pricing,Positive
The Driver Behavior was smooth and smooth.,Driver Behavior,Positive
A very Customer Support terrible ruined the experience.,Customer Support,Negative
The Pricing was normal but nothing special.,Pricing,Neutral
Everything about the Pricing was excellent.,Pricing,Positive
Had a Driver Behavior time using the amazing service!,Driver Behavior,Positive
A very Payment Issues terrible ruined the experience.,Payment Issues,Negative
"Disappointed with the Customer Support, it was really bad.",Customer Support,Negative
The Payment Issues was great and great.,Payment Issues,Positive
It was an Pricing experience overall.,Pricing,Neutral
The Customer Support was standard but nothing special.,Customer Support,Neutral
The App Experience was great and amazing.,App Experience,Positive
Everything about the Miscellaneous was comfortable.,Miscellaneous,Positive
The Miscellaneous was uncomfortable and really frustrating.,Miscellaneous,Negative
Had a Driver Behavior experience with the frustrating.,Driver Behavior,Negative
It was an App Experience experience overall.,App Experience,Neutral
It was an Pricing experience overall.,Pricing,Neutral
Really impressed with the Payment Issues - it was excellent.,Payment Issues,Positive
The App Experience was uncomfortable and really frustrating.,App Experience,Negative
It was an Customer Support experience overall.,Customer Support,Neutral
Everything about the Payment Issues was great.,Payment Issues,Positive
Had a Miscellaneous time using the excellent service!,Miscellaneous,Positive
Really impressed with the Miscellaneous - it was amazing.,Miscellaneous,Positive
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
Everything about the Payment Issues was amazing.,Payment Issues,Positive
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
Neither too good nor too bad - just App Experience.,App Experience,Neutral
Had a Miscellaneous time using the fast service!,Miscellaneous,Positive
Had a Pricing experience with the bad.,Pricing,Negative
The Pricing was normal but nothing special.,Pricing,Neutral
The App Experience was slow and really frustrating.,App Experience,Negative
The Miscellaneous was decent but nothing special.,Miscellaneous,Neutral
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
The Miscellaneous was amazing and fast.,Miscellaneous,Positive
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
The App Experience was okay but nothing special.,App Experience,Neutral
The Pricing was poor and really frustrating.,Pricing,Negative
Had a Miscellaneous time using the fast service!,Miscellaneous,Positive
Had a Pricing experience with the slow.,Pricing,Negative
Would not recommend due to the Miscellaneous being poor.,Miscellaneous,Negative
The Ride Comfort was amazing and excellent.,Ride Comfort,Positive
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
I had a Ride Comfort experience with the smooth.,Ride Comfort,Positive
"Disappointed with the Driver Behavior, it was really frustrating.",Driver Behavior,Negative
Would not recommend due to the Payment Issues being uncomfortable.,Payment Issues,Negative
Everything about the Driver Behavior was excellent.,Driver Behavior,Positive
I had a Ride Comfort experience with the excellent.,Ride Comfort,Positive
Had a Pricing time using the excellent service!,Pricing,Positive
Had a App Experience experience with the frustrating.,App Experience,Negative
A very Ride Comfort slow ruined the experience.,Ride Comfort,Negative
"Disappointed with the Miscellaneous, it was really uncomfortable.",Miscellaneous,Negative
Had a Customer Support experience with the terrible.,Customer Support,Negative
Had a Payment Issues experience with the bad.,Payment Issues,Negative
Would not recommend due to the Customer Support being uncomfortable.,Customer Support,Negative
Would not recommend due to the Customer Support being slow.,Customer Support,Negative
Everything about the Customer Support was excellent.,Customer Support,Positive
I had a Driver Behavior experience with the excellent.,Driver Behavior,Positive
Had a Ride Comfort experience with the uncomfortable.,Ride Comfort,Negative
"An Customer Support ride, nothing to complain about.",Customer Support,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
It was an Pricing experience overall.,Pricing,Neutral
The Payment Issues was poor and really frustrating.,Payment Issues,Negative
I had a App Experience experience with the smooth.,App Experience,Positive
"An Pricing ride, nothing to complain about.",Pricing,Neutral
It was an Customer Support experience overall.,Customer Support,Neutral
A very Customer Support terrible ruined the experience.,Customer Support,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
"Disappointed with the Driver Behavior, it was really poor.",Driver Behavior,Negative
Had a Ride Comfort time using the smooth service!,Ride Comfort,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
Really impressed with the Miscellaneous - it was smooth.,Miscellaneous,Positive
The Pricing was okay but nothing special.,Pricing,Neutral
A very Miscellaneous slow ruined the experience.,Miscellaneous,Negative
The App Experience was poor and really frustrating.,App Experience,Negative
A very App Experience poor ruined the experience.,App Experience,Negative
Had a Miscellaneous time using the amazing service!,Miscellaneous,Positive
Neither too good nor too bad - just Miscellaneous.,Miscellaneous,Neutral
A very Driver Behavior slow ruined the experience.,Driver Behavior,Negative
Had a Pricing time using the excellent service!,Pricing,Positive
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
Had a App Experience experience with the terrible.,App Experience,Negative
A very App Experience uncomfortable ruined the experience.,App Experience,Negative
It was an Customer Support experience overall.,Customer Support,Neutral
The Miscellaneous was fast and fast.,Miscellaneous,Positive
Everything about the Customer Support was great.,Customer Support,Positive
"Disappointed with the Miscellaneous, it was really frustrating.",Miscellaneous,Negative
I had a App Experience experience with the great.,App Experience,Positive
Really impressed with the Miscellaneous - it was great.,Miscellaneous,Positive
The Ride Comfort was standard but nothing special.,Ride Comfort,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
A very Pricing uncomfortable ruined the experience.,Pricing,Negative
Neither too good nor too bad - just Pricing.,Pricing,Neutral
I had a App Experience experience with the excellent.,App Experience,Positive
I had a Payment Issues experience with the great.,Payment Issues,Positive
Had a Ride Comfort time using the great service!,Ride Comfort,Positive
A very Payment Issues terrible ruined the experience.,Payment Issues,Negative
The Pricing was poor and really frustrating.,Pricing,Negative
"Disappointed with the App Experience, it was really frustrating.",App Experience,Negative
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
Really impressed with the Driver Behavior - it was comfortable.,Driver Behavior,Positive
The Driver Behavior was amazing and great.,Driver Behavior,Positive
Neither too good nor too bad - just App Experience.,App Experience,Neutral
A very Customer Support uncomfortable ruined the experience.,Customer Support,Negative
"The Pricing worked as expected, average experience.",Pricing,Neutral
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
The Payment Issues was frustrating and really frustrating.,Payment Issues,Negative
"Disappointed with the Miscellaneous, it was really uncomfortable.",Miscellaneous,Negative
Had a App Experience experience with the poor.,App Experience,Negative
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
I had a Driver Behavior experience with the amazing.,Driver Behavior,Positive
"The Ride Comfort worked as expected, average experience.",Ride Comfort,Neutral
The Pricing was amazing and smooth.,Pricing,Positive
The Miscellaneous was excellent and smooth.,Miscellaneous,Positive
Would not recommend due to the App Experience being terrible.,App Experience,Negative
Everything about the Payment Issues was comfortable.,Payment Issues,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
"An App Experience ride, nothing to complain about.",App Experience,Neutral
The Payment Issues was slow and really frustrating.,Payment Issues,Negative
Really impressed with the Customer Support - it was great.,Customer Support,Positive
Really impressed with the Customer Support - it was great.,Customer Support,Positive
Everything about the Pricing was comfortable.,Pricing,Positive
"Disappointed with the Payment Issues, it was really terrible.",Payment Issues,Negative
Would not recommend due to the App Experience being poor.,App Experience,Negative
Had a Ride Comfort experience with the poor.,Ride Comfort,Negative
Had a Payment Issues time using the great service!,Payment Issues,Positive
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
"The Payment Issues worked as expected, decent experience.",Payment Issues,Neutral
The App Experience was slow and really frustrating.,App Experience,Negative
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
Really impressed with the Driver Behavior - it was amazing.,Driver Behavior,Positive
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
"The Driver Behavior worked as expected, standard experience.",Driver Behavior,Neutral
The Payment Issues was poor and really frustrating.,Payment Issues,Negative
Everything about the Ride Comfort was amazing.,Ride Comfort,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Had a App Experience time using the comfortable service!,App Experience,Positive
I had a Driver Behavior experience with the great.,Driver Behavior,Positive
Really impressed with the Ride Comfort - it was excellent.,Ride Comfort,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
Really impressed with the App Experience - it was great.,App Experience,Positive
Had a Miscellaneous time using the fast service!,Miscellaneous,Positive
Had a Pricing time using the comfortable service!,Pricing,Positive
Would not recommend due to the App Experience being slow.,App Experience,Negative
Had a Pricing time using the excellent service!,Pricing,Positive
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
The App Experience was amazing and great.,App Experience,Positive
"Disappointed with the Pricing, it was really terrible.",Pricing,Negative
Really impressed with the Pricing - it was comfortable.,Pricing,Positive
"The Miscellaneous worked as expected, okay experience.",Miscellaneous,Neutral
The Driver Behavior was okay but nothing special.,Driver Behavior,Neutral
Would not recommend due to the Driver Behavior being uncomfortable.,Driver Behavior,Negative
The Customer Support was terrible and really frustrating.,Customer Support,Negative
Really impressed with the Miscellaneous - it was comfortable.,Miscellaneous,Positive
"The Payment Issues worked as expected, average experience.",Payment Issues,Neutral
Would not recommend due to the Miscellaneous being frustrating.,Miscellaneous,Negative
The Ride Comfort was frustrating and really frustrating.,Ride Comfort,Negative
The Payment Issues was fair but nothing special.,Payment Issues,Neutral
A very Pricing slow ruined the experience.,Pricing,Negative
I had a Miscellaneous experience with the fast.,Miscellaneous,Positive
A very App Experience poor ruined the experience.,App Experience,Negative
Would not recommend due to the Pricing being terrible.,Pricing,Negative
I had a Pricing experience with the great.,Pricing,Positive
Really impressed with the Payment Issues - it was comfortable.,Payment Issues,Positive
Would not recommend due to the Customer Support being uncomfortable.,Customer Support,Negative
Neither too good nor too bad - just Payment Issues.,Payment Issues,Neutral
Would not recommend due to the App Experience being uncomfortable.,App Experience,Negative
I had a Ride Comfort experience with the excellent.,Ride Comfort,Positive
"The Payment Issues worked as expected, average experience.",Payment Issues,Neutral
A very Ride Comfort bad ruined the experience.,Ride Comfort,Negative
"The Pricing worked as expected, decent experience.",Pricing,Neutral
The Miscellaneous was fast and smooth.,Miscellaneous,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
"Disappointed with the App Experience, it was really bad.",App Experience,Negative
I had a Miscellaneous experience with the excellent.,Miscellaneous,Positive
Everything about the Payment Issues was amazing.,Payment Issues,Positive
Had a Payment Issues time using the great service!,Payment Issues,Positive
The Customer Support was average but nothing special.,Customer Support,Neutral
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
A very Customer Support frustrating ruined the experience.,Customer Support,Negative
The Payment Issues was standard but nothing special.,Payment Issues,Neutral
Had a Ride Comfort experience with the terrible.,Ride Comfort,Negative
Everything about the Customer Support was excellent.,Customer Support,Positive
"An Miscellaneous ride, nothing to complain about.",Miscellaneous,Neutral
"The App Experience worked as expected, normal experience.",App Experience,Neutral
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
A very Ride Comfort uncomfortable ruined the experience.,Ride Comfort,Negative
Would not recommend due to the Miscellaneous being terrible.,Miscellaneous,Negative
"The Miscellaneous worked as expected, standard experience.",Miscellaneous,Neutral
The Pricing was great and fast.,Pricing,Positive
Had a Miscellaneous time using the smooth service!,Miscellaneous,Positive
The Driver Behavior was amazing and excellent.,Driver Behavior,Positive
"Disappointed with the Pricing, it was really terrible.",Pricing,Negative
"Disappointed with the App Experience, it was really uncomfortable.",App Experience,Negative
Had a Customer Support time using the comfortable service!,Customer Support,Positive
The Driver Behavior was normal but nothing special.,Driver Behavior,Neutral
I had a Driver Behavior experience with the amazing.,Driver Behavior,Positive
The Payment Issues was terrible and really frustrating.,Payment Issues,Negative
The Customer Support was smooth and comfortable.,Customer Support,Positive
I had a Miscellaneous experience with the great.,Miscellaneous,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
It was an App Experience experience overall.,App Experience,Neutral
Would not recommend due to the Driver Behavior being frustrating.,Driver Behavior,Negative
Really impressed with the Payment Issues - it was excellent.,Payment Issues,Positive
The Pricing was comfortable and smooth.,Pricing,Positive
Had a App Experience time using the amazing service!,App Experience,Positive
Really impressed with the Driver Behavior - it was excellent.,Driver Behavior,Positive
"Disappointed with the Ride Comfort, it was really uncomfortable.",Ride Comfort,Negative
The Miscellaneous was bad and really frustrating.,Miscellaneous,Negative
I had a Driver Behavior experience with the great.,Driver Behavior,Positive
Neither too good nor too bad - just Pricing.,Pricing,Neutral
The Driver Behavior was excellent and comfortable.,Driver Behavior,Positive
"Disappointed with the Ride Comfort, it was really poor.",Ride Comfort,Negative
The Ride Comfort was slow and really frustrating.,Ride Comfort,Negative
"The Payment Issues worked as expected, okay experience.",Payment Issues,Neutral
Had a Payment Issues experience with the slow.,Payment Issues,Negative
It was an Miscellaneous experience overall.,Miscellaneous,Neutral
